p_id,first_name,last_name
0,James,Harden
1,Eric,Gordon
2,Trevor,Ariza
3,Ryan,Anderson
4,Clint,Capela
5,Nene,Hilario
6,Corey,Brewer
7,K.J.,McDaniels
8,Sam,Dekker
9,Bobby,Brown
10,Tyler,Ennis
11,Kyle,Wiltjer
12,Montrezl,Harrell
13,LeBron,James
14,Kyrie,Irving
15,J.R.,Smith
16,Kevin,Love
17,Tristan,Thompson
18,Iman,Shumpert
19,Richard,Jefferson
20,Mike,Dunleavy
21,Channing,Frye
22,DeAndre,Liggins
23,James,Jones
24,Chris,Andersen
25,Jordan,McRae
26,Carmelo,Anthony
27,Derrick,Rose
28,Joakim,Noah
29,Kristaps,Porzingis
30,Courtney,Lee
31,Lance,Thomas
32,Brandon,Jennings
33,Justin,Holiday
34,Kyle,O'Quinn
35,Maurice,Ndour
36,Willy,Hernangomez
37,Sasha,Vujacic
38,Mindaugas,Kuzminskas
39,Tobias,Harris
40,Andre,Drummond
41,Kentavious,Caldwell-Pope
42,Marcus,Morris
43,Ish,Smith
44,Jon,Leuer
45,Stanley,Johnson
46,Beno,Udrih
47,Aron,Baynes
48,Darrun,Hilliard
49,Boban,Marjanovic
50,Henry,Ellenson
51,Michael,Gbinije
52,Nick,Young
53,Luol,Deng
54,Julius,Randle
55,Timofey,Mozgov
56,D'Angelo,Russell
57,Jordan,Clarkson
58,Larry,Nance
59,Lou,Williams
60,Tarik,Black
61,Jose,Calderon
62,Brandon,Ingram
63,Metta,World Peace
64,Marcelo,Huertas
65,Monta,Ellis
66,Paul,George
67,Jeff,Teague
68,Thaddeus,Young
69,Myles,Turner
70,C.J.,Miles
71,Lavoy,Allen
72,Aaron,Brooks
73,Al,Jefferson
74,Kevin,Seraphin
75,Georges,Niang
76,Joe,Young
77,Glenn,Robinson
78,Rudy,Gay
79,Arron,Afflalo
80,Ty,Lawson
81,DeMarcus,Cousins
82,Matt,Barnes
83,Garrett,Temple
84,Kosta,Koufos
85,Ben,McLemore
86,Anthony,Tolliver
87,Malachi,Richardson
88,Willie,Cauley-Stein
89,Skal,Labissiere
90,Darren,Collison
91,Dion,Waiters
92,Goran,Dragic
93,Justise,Winslow
94,Hassan,Whiteside
95,Luke,Babbitt
96,Tyler,Johnson
97,James,Johnson
98,Udonis,Haslem
99,Rodney,McGruder
100,Willie,Reed
101,Josh,McRoberts
102,Derrick,Williams
103,Troy,Williams
104,JaMychal,Green
105,Jarell,Martin
106,Wade,Baldwin
107,James,Ennis
108,Andrew,Harrison
109,Deyonta,Davis
110,Tony,Allen
111,Vince,Carter
112,Troy,Daniels
113,Zach,Randolph
114,Mike,Conley
115,Marc,Gasol
116,Gorgui,Dieng
117,Karl-Anthony,Towns
118,Zach,LaVine
119,Andrew,Wiggins
120,Kris,Dunn
121,Tyus,Jones
122,Brandon,Rush
123,Shabazz,Muhammad
124,Nemanja,Bjelica
125,Cole,Aldrich
126,Jordan,Hill
127,John,Lucas III
128,Adreian,Payne
129,Giannis,Antetokounmpo
130,Tony,Snell
131,Jabari,Parker
132,Matthew,Dellavedova
133,Miles,Plumlee
134,Malcolm,Brogdon
135,Greg,Monroe
136,Rashad,Vaughn
137,John,Henson
138,Michael,Beasley
139,Mirza,Teletovic
140,Jason,Terry
141,Thon,Maker
142,Dante,Cunningham
143,Anthony,Davis
144,Tim,Frazier
145,Solomon,Hill
146,E'Twaun,Moore
147,Lance,Stephenson
148,Buddy,Hield
149,Omer,Asik
150,Langston,Galloway
151,Alexis,Ajinca
152,Terrence,Jones
153,Cheick,Diallo
154,Elfrid,Payton
155,Evan,Fournier
156,Serge,Ibaka
157,Aaron,Gordon
158,Nikola,Vucevic
159,Bismack,Biyombo
160,D.J.,Augustin
161,Mario,Hezonja
162,Jeff,Green
163,C.J.,Watson
164,C.J.,Wilcox
165,Stephen,Zimmerman
166,Damjan,Rudez
167,Sergio,Rodriguez
168,Dario,Saric
169,Gerald,Henderson
170,Robert,Covington
171,Joel,Embiid
172,Hollis,Thompson
173,Richaun,Holmes
174,Nik,Stauskas
175,T.J.,McConnell
176,Timothe,Luwawu-Cabarrot
177,Jahlil,Okafor
178,Kevin,Durant
179,Klay,Thompson
180,Draymond,Green
181,Stephen,Curry
182,Zaza,Pachulia
183,Ian,Clark
184,Andre,Iguodala
185,Shaun,Livingston
186,David,West
187,James,Michael McAdoo
188,Kevon,Looney
189,JaVale,McGee
190,Anderson,Varejao
191,Damian,Lillard
192,Al-Farouq,Aminu
193,CJ,McCollum
194,Maurice,Harkless
195,Mason,Plumlee
196,Evan,Turner
197,Allen,Crabbe
198,Ed,Davis
199,Noah,Vonleh
200,Shabazz,Napier
201,Meyers,Leonard
202,Jake,Layman
203,Pat,Connaughton
204,Joe,Johnson
205,Rudy,Gobert
206,Rodney,Hood
207,George,Hill
208,Derrick,Favors
209,Trey,Lyles
210,Shelvin,Mack
211,Joe,Ingles
212,Dante,Exum
213,Jeff,Withey
214,Joel,Bolomboy
215,Raul,Neto
216,Kawhi,Leonard
217,LaMarcus,Aldridge
218,Tony,Parker
219,Jonathon,Simmons
220,Pau,Gasol
221,Manu,Ginobili
222,Patty,Mills
223,Kyle,Anderson
224,David,Lee
225,Dewayne,Dedmon
226,Bryn,Forbes
227,Nicolas,Laprovittola
228,Dejounte,Murray
229,Ivica,Zubac
230,Thomas,Robinson
231,Paul,Millsap
232,Dwight,Howard
233,Kent,Bazemore
234,Dennis,Schroder
235,Kyle,Korver
236,Tim,Hardaway
237,Thabo,Sefolosha
238,Malcolm,Delaney
239,Mike,Muscala
240,Kris,Humphries
241,Taurean,Waller-Prince
242,Ryan,Kelly
243,DeAndre',Bembry
244,Jimmy,Butler
245,Dwyane,Wade
246,Rajon,Rondo
247,Taj,Gibson
248,Robin,Lopez
249,Nikola,Mirotic
250,Isaiah,Canaan
251,Jerian,Grant
252,Bobby,Portis
253,Cristiano,Felicio
254,Denzel,Valentine
255,R.J.,Hunter
256,Paul,Zipser
257,Avery,Bradley
258,Isaiah,Thomas
259,Amir,Johnson
260,Tyler,Zeller
261,Jae,Crowder
262,Marcus,Smart
263,Jonas,Jerebko
264,Gerald,Green
265,Terry,Rozier
266,Jaylen,Brown
267,Jordan,Mickey
268,James,Young
269,Demetrius,Jackson
270,Bojan,Bogdanovic
271,Trevor,Booker
272,Brook,Lopez
273,Rondae,Hollis-Jefferson
274,Jeremy,Lin
275,Sean,Kilpatrick
276,Joe,Harris
277,Justin,Hamilton
278,Isaiah,Whitehead
279,Luis,Scola
280,Anthony,Bennett
281,Greivis,Vasquez
282,Chris,McCullough
283,Ersan,Ilyasova
284,Nicolas,Batum
285,Kemba,Walker
286,Michael,Kidd-Gilchrist
287,Marvin,Williams
288,Cody,Zeller
289,Frank,Kaminsky
290,Ramon,Sessions
291,Marco,Belinelli
292,Spencer,Hawes
293,Treveon,Graham
294,Brian,Roberts
295,Aaron,Harrison
296,Russell,Westbrook
297,Victor,Oladipo
298,Steven,Adams
299,Andre,Roberson
300,Domantas,Sabonis
301,Enes,Kanter
302,Jerami,Grant
303,Joffrey,Lauvergne
304,Semaj,Christon
305,Anthony,Morrow
306,Alex,Abrines
307,Nick,Collison
308,Kyle,Singler
309,Blake,Griffin
310,Chris,Paul
311,DeAndre,Jordan
312,J.J.,Redick
313,Luc,Mbah a Moute
314,Jamal,Crawford
315,Austin,Rivers
316,Marreese,Speights
317,Raymond,Felton
318,Brandon,Bass
319,Wesley,Johnson
320,Diamond,Stone
321,Alan,Anderson
322,Ron,Baker
323,Eric,Bledsoe
324,Devin,Booker
325,T.J.,Warren
326,Tyson,Chandler
327,Jared,Dudley
328,Brandon,Knight
329,Alex,Len
330,P.J.,Tucker
331,Marquese,Chriss
332,Leandro,Barbosa
333,Tyler,Ulis
334,Dragan,Bender
335,Alan,Williams
336,Harrison,Barnes
337,Wesley,Matthews
338,Deron,Williams
339,Dirk,Nowitzki
340,Andrew,Bogut
341,J.J.,Barea
342,Justin,Anderson
343,Dwight,Powell
344,Seth,Curry
345,Salah,Mejri
346,Nicolas,Brussino
347,Dorian,Finney-Smith
348,Quincy,Acy
349,DeMar,DeRozan
350,Kyle,Lowry
351,Jonas,Valanciunas
352,DeMarre,Carroll
353,Pascal,Siakam
354,Patrick,Patterson
355,Terrence,Ross
356,Jakob,Poeltl
357,Cory,Joseph
358,Norman,Powell
359,Bruno,Caboclo
360,Fred,VanVleet
361,Lucas,Nogueira
362,Marcin,Gortat
363,Bradley,Beal
364,Otto,Porter
365,John,Wall
366,Markieff,Morris
367,Marcus,Thornton
368,Tomas,Satoransky
369,Andrew,Nicholson
370,Kelly,Oubre
371,Trey,Burke
372,Sheldon,Mac
373,Jason,Smith
374,Daniel,Ochefu
375,Danilo,Gallinari
376,Emmanuel,Mudiay
377,Jamal,Murray
378,Jusuf,Nurkic
379,Nikola,Jokic
380,Jameer,Nelson
381,Wilson,Chandler
382,Kenneth,Faried
383,Juan,Hernangomez
384,Darrell,Arthur
385,Malik,Beasley
386,Jarnell,Stokes
387,Mike,Miller
388,Omri,Casspi
389,Jordan,Farmar
390,Arinze,Onuaku
391,Christian,Wood
392,Randy,Foye
393,Doug,McDermott
394,A.J.,Hammons
395,Paul,Pierce
396,Josh,Richardson
397,Davis,Bertans
398,Gary,Harris
399,Georgios,Papagiannis
400,Steve,Novak
401,Danuel,House
402,Kay,Felder
403,Chandler,Parsons
404,Gordon,Hayward
405,Archie,Goodwin
406,Patrick,McCaw
407,Reggie,Bullock
408,John,Jenkins
409,Tim,Quarterman
410,Yogi,Ferrell
411,Danny,Green
412,Kelly,Olynyk
413,Roy,Hibbert
414,Rakeem,Christmas
415,Ricky,Rubio
416,Boris,Diaw
417,Alonzo,Gee
418,Patrick,Beverley
419,Jonathan,Gibson
420,Rodney,Stuckey
421,Jrue,Holiday
422,Al,Horford
423,Jeremy,Lamb
424,Derrick,Jones
425,Will,Barton
426,Marshall,Plumlee
427,Josh,Huestis
428,Delon,Wright
429,Jerryd,Bayless
430,Anthony,Brown
431,Ian,Mahinmi
432,Wayne,Ellington
433,Devin,Harris
434,Mike,Scott
435,Jeff,McInnis
436,Jason,Richardson
437,Gerald,Wallace
438,Emeka,Okafor
439,Earl,Boykins
440,Derek,Anderson
441,Matt,Carroll
442,Ryan,Hollins
443,Nazr,Mohammed
444,Stephen,Jackson
445,Baron,Davis
446,Al,Harrington
447,Kelenna,Azubuike
448,Andris,Biedrins
449,Mickael,Pietrus
450,Brandan,Wright
451,Patrick,O'Bryant
452,Shane,Battier
453,Yao,Ming
454,Tracy,McGrady
455,Rafer,Alston
456,Carl,Landry
457,Bonzi,Wells
458,Chuck,Hayes
459,Luther,Head
460,Danny,Granger
461,Jeff,Foster
462,Troy,Murphy
463,Travis,Diener
464,Jamaal,Tinsley
465,Shawne,Williams
466,Kareem,Rush
467,David,Harrison
468,Jason,Kidd
469,Josh,Boone
470,Sean,Williams
471,Antoine,Wright
472,Bostjan,Nachbar
473,Jason,Collins
474,Marcus,Williams
475,Darrell,Armstrong
476,Jason,Williams
477,Mark,Blount
478,Dorell,Wright
479,Earl,Barron
480,Ricky,Davis
481,Alexander,Johnson
482,Luke,Jackson
483,Chris,Quinn
484,Al,Thornton
485,Cuttino,Mobley
486,Tim,Thomas
487,Sam,Cassell
488,Josh,Powell
489,Quinton,Ross
490,Aaron,Williams
491,Brevin,Knight
492,Dan,Dickau
493,Ryan,Gomes
494,Marko,Jaric
495,Sebastian,Telfair
496,Craig,Smith
497,Antoine,Walker
498,Rashad,McCants
499,Michael,Doleac
500,Rashard,Lewis
501,Hedo,Turkoglu
502,Maurice,Evans
503,Carlos,Arroyo
504,Keith,Bogans
505,Keyon,Dooling
506,Brian,Cook
507,Adonal,Foyle
508,Pat,Garrity
509,Andre,Miller
510,Samuel,Dalembert
511,Willie,Green
512,Rodney,Carney
513,Reggie,Evans
514,Kevin,Ollie
515,Nate,Robinson
516,Fred,Jones
517,Renaldo,Balkman
518,Malik,Rose
519,Jared,Jeffries
520,Brandon,Roy
521,Steve,Blake
522,Martell,Webster
523,Joel,Przybilla
524,Travis,Outlaw
525,Jarrett,Jack
526,Peja,Stojakovic
527,Morris,Peterson
528,Jannero,Pargo
529,Bobby,Jackson
530,Melvin,Ely
531,Ryan,Bowen
532,Hilton,Armstrong
533,Brad,Miller
534,Kevin,Martin
535,Mike,Bibby
536,Mikki,Moore
537,John,Salmons
538,Francisco,Garcia
539,Kobe,Bryant
540,Vladimir,Radmanovic
541,Ronny,Turiaf
542,Lamar,Odom
543,Derek,Fisher
544,Didier,Ilunga-Mbenga
545,Coby,Karl
546,Chris,Bosh
547,Andrea,Bargnani
548,Anthony,Parker
549,Jamario,Moon
550,Carlos,Delfino
551,Jason,Kapono
552,Juan,Dixon
553,Rasho,Nesterovic
554,Mehmet,Okur
555,Carlos,Boozer
556,Ronnie,Brewer
557,Andrei,Kirilenko
558,Matt,Harpring
559,Ronnie,Price
560,Jarron,Collins
561,Antonio,Daniels
562,Andray,Blatche
563,Antawn,Jamison
564,DeShawn,Stevenson
565,Brendan,Haywood
566,Darius,Songaila
567,Roger,Mason
568,Dominic,McGuire
569,Nenad,Krstic
570,Josh,Smith
571,Anthony,Johnson
572,Josh,Childress
573,Acie,Law
574,Tyronn,Lue
575,Zydrunas,Ilgauskas
576,Drew,Gooden
577,Larry,Hughes
578,Ira,Newble
579,Daniel,Gibson
580,Damon,Jones
581,Devin,Brown
582,Dwayne,Jones
583,Othella,Harrington
584,Allen,Iverson
585,Kenyon,Martin
586,Anthony,Carter
587,Steven,Hunter
588,Linas,Kleiza
589,Yakhouba,Diawara
590,Von,Wafer
591,Marquis,Daniels
592,Darko,Milicic
593,Juan,Carlos Navarro
594,Hakim,Warrick
595,Casey,Jacobsen
596,Brian,Cardinal
597,Andre,Brown
598,Mike,James
599,Dikembe,Mutombo
600,Mo,Williams
601,Yi,Jianlian
602,Royal,Ivey
603,Bobby,Simmons
604,Charlie,Bell
605,Desmond,Mason
606,Charlie,Villanueva
607,Dan,Gadzuric
608,Ben,Wallace
609,Kirk,Hinrich
610,Andres,Nocioni
611,Ben,Gordon
612,Viktor,Khryapa
613,Chris,Duhon
614,Joe,Smith
615,Tyrus,Thomas
616,Quentin,Richardson
617,Chris,Wilcox
618,Earl,Watson
619,Damien,Wilkins
620,Kurt,Thomas
621,Delonte,West
622,Luke,Ridnour
623,Johan,Petro
624,Josh,Howard
625,Erick,Dampier
626,Eddie,Jones
627,Trenton,Hassell
628,DeSagana,Diop
629,Devean,George
630,Juwan,Howard
631,Maurice,Ager
632,Richard,Hamilton
633,Rasheed,Wallace
634,Chauncey,Billups
635,Antonio,McDyess
636,Tayshaun,Prince
637,Jason,Maxiell
638,Jarvis,Hayes
639,Walter,Herrmann
640,Luke,Walton
641,Caron,Butler
642,Oleksiy,Pecherov
643,T.J.,Ford
644,Joey,Graham
645,Daequan,Cook
646,Chris,Kaman
647,Corey,Maggette
648,Eddy,Curry
649,Mardy,Collins
650,Raja,Bell
651,Grant,Hill
652,Amar'e,Stoudemire
653,Shawn,Marion
654,Steve,Nash
655,Brian,Skinner
656,Marcus,Banks
657,D.J.,Strawberry
658,Eric,Piatkowski
659,Sean,Marks
660,Eduardo,Najera
661,Aaron,Gray
662,Wally,Szczerbiak
663,Robert,Swift
664,Julian,Wright
665,Rasual,Butler
666,Ray,Allen
667,Kendrick,Perkins
668,Brian,Scalabrine
669,James,Posey
670,Eddie,House
671,Glen,Davis
672,Leon,Powe
673,Donyell,Marshall
674,Tim,Duncan
675,Bruce,Bowen
676,Fabricio,Oberto
677,Damon,Stoudamire
678,Michael,Finley
679,Jacque,Vaughn
680,Ime,Udoka
681,Robert,Horry
682,Matt,Bonner
683,Francisco,Elson
684,Stephen,Graham
685,Ike,Diogu
686,Kwame,Brown
687,Javaris,Crittenton
688,Malik,Allen
689,Mario,West
690,Michael,Ruffin
691,Jason,Hart
692,Marcus,Camby
693,Adrian,Griffin
694,Raef,LaFrentz
695,Quincy,Douby
696,Justin,Williams
697,Dahntay,Jones
698,Chris,Webber
699,Shannon,Brown
700,Cedric,Simmons
701,Eric,Snow
702,Stromile,Swift
703,Jermareo,Davidson
704,Jerry,Stackhouse
705,Taurean,Green
706,Primoz,Brezec
707,Shelden,Williams
708,Michael,Redd
709,Jake,Voskuhl
710,Gordan,Giricek
711,Demetris,Nichols
712,Mark,Madsen
713,Greg,Buckner
714,Lorenzen,Wright
715,Nick,Fazekas
716,Andre,Owens
717,Austin,Croshere
718,Darrick,Martin
719,Maceo,Baston
720,Kevin,Garnett
721,Solomon,Jones
722,Jeremy,Richardson
723,Salim,Stoudamire
724,Lou,Amundson
725,Calvin,Booth
726,Shaquille,O'Neal
727,Theo,Ratliff
728,Mickael,Gelabale
729,Billy,Thomas
730,Kaniel,Dickens
731,Scot,Pollard
732,Linton,Johnson
733,Gabe,Pruitt
